model_label,model_family,model_size,instruction_tuned,example_id,has_error,condition,layer,prompt_correction_mode,prompt_conditional_mode,prompt_high_confidence,prompt_low_confidence,output_correction_mode,output_conditional_mode,output_high_confidence,output_low_confidence
qwen_0.5b_base,Qwen2.5,0.5B,False,e01,True,A_assert_error,0,0.6274319887161255,0.6274319887161255,0.6274319887161255,0.6274319887161255,1.0,1.0,1.0,1.0
qwen_0.5b_base,Qwen2.5,0.5B,False,e01,True,A_assert_error,1,0.5346671342849731,0.5325602889060974,0.5327620506286621,0.5299050807952881,0.986992597579956,0.9842497110366821,0.9862403869628906,0.9865506887435913
qwen_0.5b_base,Qwen2.5,0.5B,False,e01,True,A_assert_error,2,0.70240718126297,0.701065182685852,0.6942294239997864,0.6947224140167236,0.9796044826507568,0.980021595954895,0.9761344194412231,0.97858726978302
qwen_0.5b_base,Qwen2.5,0.5B,False,e01,True,A_assert_error,3,0.6058335304260254,0.5940216779708862,0.5978461503982544,0.5940532684326172,0.956788182258606,0.9599776268005371,0.9538532495498657,0.9589655995368958
qwen_0.5b_base,Qwen2.5,0.5B,False,e01,True,A_assert_error,4,0.571124792098999,0.559322714805603,0.5625748038291931,0.5614748001098633,0.9235591888427734,0.9217146635055542,0.9260891675949097,0.9296776652336121
qwen_0.5b_base,Qwen2.5,0.5B,False,e01,True,A_assert_error,5,0.5446990728378296,0.5282468795776367,0.527580976486206,0.5177016854286194,0.8293157815933228,0.8046233057975769,0.8417174816131592,0.818752646446228
qwen_0.5b_base,Qwen2.5,0.5B,False,e01,True,A_assert_error,6,0.5915829539299011,0.5735300183296204,0.5738412141799927,0.549008846282959,0.7310449481010437,0.7294394373893738,0.7376275062561035,0.7087851762771606
qwen_0.5b_base,Qwen2.5,0.5B,False,e01,True,A_assert_error,7,0.6155229806900024,0.5852222442626953,0.5770948529243469,0.5510663390159607,0.7345446348190308,0.7414730787277222,0.7272491455078125,0.7120904326438904
qwen_0.5b_base,Qwen2.5,0.5B,False,e01,True,A_assert_error,8,0.6176068782806396,0.5968492031097412,0.5780535936355591,0.5570200681686401,0.7606091499328613,0.7752164602279663,0.7500730156898499,0.7423876523971558
qwen_0.5b_base,Qwen2.5,0.5B,False,e01,True,A_assert_error,9,0.5713258981704712,0.5484919548034668,0.5387853384017944,0.5211833119392395,0.7577608823776245,0.7770033478736877,0.7599223852157593,0.7412467002868652
qwen_0.5b_base,Qwen2.5,0.5B,False,e01,True,A_assert_error,10,0.5841536521911621,0.5705496072769165,0.5709536075592041,0.5367186665534973,0.7768436670303345,0.7951867580413818,0.7876476645469666,0.7681547403335571
qwen_0.5b_base,Qwen2.5,0.5B,False,e01,True,A_assert_error,11,0.5992065668106079,0.564755916595459,0.5846797227859497,0.541815996170044,0.7366010546684265,0.7419154644012451,0.7517410516738892,0.7193618416786194
qwen_0.5b_base,Qwen2.5,0.5B,False,e01,True,A_assert_error,12,0.5631691217422485,0.5513591766357422,0.5828312039375305,0.5292667746543884,0.7456225752830505,0.7414515614509583,0.7517798542976379,0.718116283416748
qwen_0.5b_base,Qwen2.5,0.5B,False,e01,True,A_assert_error,13,0.5733444690704346,0.5733272433280945,0.5848680138587952,0.5340052843093872,0.758171796798706,0.7568705081939697,0.7674394249916077,0.7303628921508789
qwen_0.5b_base,Qwen2.5,0.5B,False,e01,True,A_assert_error,14,0.5767607092857361,0.5888009071350098,0.5929560661315918,0.5387194156646729,0.7609771490097046,0.7527289390563965,0.7534615397453308,0.7239195704460144
qwen_0.5b_base,Qwen2.5,0.5B,False,e01,True,A_assert_error,15,0.6155350208282471,0.618281364440918,0.6098635196685791,0.5553179979324341,0.7829412221908569,0.7694917917251587,0.7742199897766113,0.7311695218086243
qwen_0.5b_base,Qwen2.5,0.5B,False,e01,True,A_assert_error,16,0.6433884501457214,0.656711220741272,0.637192964553833,0.6090192794799805,0.809096097946167,0.7955619692802429,0.788732647895813,0.7530621290206909
